sensor,phase,event,seq,active,reactive,current,voltage,frequency,hr0,hr1,hr2,hr3,hr4,hr5,hr6,hr7,hr8,tr0,tr1,tr2,tr3,tr4,tr5,tr6,tr7,tr8,tr9,draw,power,thd,shift,capture,lag
997.0,0,5.0,92561.0,6.9,-1.5,0.03,235.9,50.029,68.2,92.2,90.9,88.3,82.7,47.0,39.5,122.6,117.6,100.0,68.8,29.4,-10.6,-49.3,-75.0,-86.7,-91.2,-92.8,-100.0,12410696.3,281.5,57.7,58.9,971.0,22i 1732228799001529652 
997.0,1,5.0,92562.0,1.5,-2.3,0.011,237.0,50.02,100.0,386.9,212.2,19.8,275.3,447.6,66.3,153.1,282.9,18.4,-9.9,-41.0,-68.8,-91.2,-100.0,-97.8,-92.2,-88.7,-91.8,1095589.8,400.8,31.4,21.7,971.0,22i 1732228799001529652 
997.0,2,5.0,92563.0,3.1,1.5,0.013000000000000001,239.7,50.02,74.4,157.5,140.9,59.1,161.2,168.3,72.3,210.0,148.5,-41.9,-66.4,-86.4,-98.5,-100.0,-74.3,-29.1,20.4,69.1,100.0,4556654.6,324.6,32.6,-26.9,971.0,22i 1732228799001529652 
997.0,0,5.0,92564.0,3.8,-1.5,0.018000000000000002,235.9,50.01,50.7,62.3,39.6,62.3,71.6,17.3,94.2,124.5,94.7,-83.8,-85.7,-100.0,-93.3,-67.6,-31.4,-2.9,40.0,86.7,100.0,12410710.4,285.4,56.6,58.6,966.0,22i 1732228979010773744 
997.0,1,5.0,92565.0,1.5,0.8,0.008,236.9,50.01,61.9,46.2,73.0,46.5,17.2,101.0,113.4,13.1,80.0,-99.0,-98.7,-100.0,-93.7,-76.9,-53.3,-29.3,2.2,37.4,65.7,1095609.8,402.3,31.1,21.5,966.0,22i 1732228979010773744 
997.0,2,5.0,92566.0,1.5,3.1,0.015,239.7,50.02,56.3,79.4,46.4,72.9,84.1,88.9,68.3,86.4,148.9,100.0,78.4,49.1,24.5,10.2,2.1,-5.2,-8.3,-7.5,-19.8,4556670.9,326.2,33.4,-27.2,966.0,22i 1732228979010773744 
997.0,0,5.0,92567.0,1.5,0.0,0.008,235.7,49.99,78.5,776.7,680.2,879.0,634.8,67.3,202.1,550.3,224.5,100.0,90.8,75.1,56.1,39.9,23.7,4.9,-16.1,-37.4,-58.3,12410724.6,286.9,56.3,58.5,972.0,22i 1732229159014966362 
997.0,1,5.0,92568.0,4.6,-1.5,0.019,236.7,50.0,75.1,166.1,71.3,104.3,143.1,159.4,98.9,120.6,47.9,100.0,94.0,87.8,77.9,60.4,34.8,4.1,-27.6,-55.9,-78.0,1095629.9,397.7,32.0,21.5,972.0,22i 1732229159014966362 
997.0,2,5.0,92569.0,0.8,2.3,0.01,239.5,49.99,29.7,33.1,58.4,24.5,32.1,67.3,37.8,69.1,29.9,93.0,100.0,95.1,79.8,57.2,31.8,7.2,-16.8,-40.3,-62.2,4556687.2,326.9,31.7,-26.8,972.0,22i 1732229159014966362 
997.0,0,5.0,92570.0,3.1,0.0,0.012,235.9,49.99,97.6,175.9,133.7,146.3,111.8,133.0,190.0,121.2,115.3,24.8,-8.8,-45.9,-79.9,-99.0,-100.0,-78.9,-51.4,100.0,100.0,12410739.0,290.0,56.7,58.2,966.0,22i 1732229339012436027 
