timestamp,phase,active,reactive,current,freq,thd,voltage,hm0,hm1,hm2,hm3,hm4,hm5,hm6,hm7,hm8,anomaly
2025-02-16T12:05:10.040406,1.0,0.8,-1.5,0.4,50.02,33.2,238.3,93.2,296.0,178.4,33.7,266.4,189.3,361.6,291.5,202.3,False
2025-02-16T12:05:10.127921,2.0,0.8,-4.5,1.4,50.03,36.0,240.0,77.0,40.5,12.7,62.8,175.3,258.4,240.4,162.0,212.7,False
2025-02-16T12:08:10.044745,1.0,43.9,-307.8,9.2,50.05,11.8,238.7,47.7,10.5,21.6,20.0,17.0,24.6,42.3,24.5,36.8,False
2025-02-16T12:08:10.171341,2.0,72.6,-296.5,3.3,50.04,43.5,240.4,50.4,12.6,16.3,17.8,12.9,22.6,32.3,24.8,19.4,False
2025-02-16T12:11:10.022052,1.0,43.9,-310.8,8.3,50.02,33.8,239.0,42.7,16.6,19.6,16.9,11.2,19.1,31.1,15.2,29.1,False
2025-02-16T12:11:10.144739,2.0,74.1,-297.2,3.3,50.02,38.4,240.8,65.2,23.3,31.3,30.7,39.4,91.0,89.2,47.3,33.8,False
2025-02-16T12:14:09.936866,0.0,1.5,0.0,0.5,50.02,71.4,236.9,28.5,161.4,195.5,153.5,150.1,153.1,34.9,120.8,164.7,False
2025-02-16T12:14:10.051529,1.0,0.8,-0.8,0.5,50.01,32.9,238.7,48.4,50.5,67.5,33.9,111.0,63.4,221.9,112.2,241.8,False
2025-02-16T12:14:10.170883,2.0,0.0,-2.3,0.8,50.02,39.2,240.4,106.7,279.1,32.9,237.2,247.2,87.7,516.8,166.2,257.6,False
2025-02-16T12:17:09.939649,0.0,5.3,-0.8,2.5,49.98,70.0,236.5,67.5,130.6,152.0,156.7,95.4,45.9,35.8,62.5,89.1,False
2025-02-16T12:17:10.077360,1.0,0.0,-4.5,1.7,49.99,33.9,238.4,110.0,166.3,108.0,79.8,89.3,135.4,265.6,138.6,337.5,False
2025-02-16T12:17:10.156224,2.0,3.8,0.8,1.6,49.98,37.3,240.0,110.0,211.0,139.4,164.5,357.7,281.3,476.3,117.3,432.6,False
2025-02-16T12:20:09.939792,0.0,1.5,-1.5,0.9,49.98,70.1,236.5,97.2,289.7,350.2,374.2,203.4,407.6,464.5,138.8,233.2,False
2025-02-16T12:20:10.038735,1.0,0.0,-0.8,0.2,49.98,33.1,238.2,28.3,33.3,118.9,106.3,119.8,237.3,373.0,130.4,291.4,False
